# timestamp tx ty tz qx qy qz qw
1788506803.692984104 -36.216395906 -58.005264384 0.706436045 0.054275606 0.006111212 0.831324203 0.553097533
1788506803.792879105 -36.232638805 -57.959976503 0.706767190 0.050109132 0.010105332 0.831463570 0.553222640
1788506803.892765999 -36.232316791 -57.940083693 0.701658341 0.052838715 0.008331381 0.831120465 0.553513713
1788506803.992677927 -36.249846739 -57.901310744 0.704044256 0.049400211 0.011525107 0.830873485 0.554144425
1788506804.092639923 -36.248170932 -57.867374319 0.721780596 0.051445770 0.011229715 0.829876868 0.555456218
1788506804.192574024 -36.258128431 -57.824006460 0.728102155 0.048761953 0.013735455 0.830253592 0.555078897
1788506804.292437077 -36.267122609 -57.806002232 0.729565384 0.051776237 0.012341238 0.831080282 0.553599566
1788506804.392292023 -36.279167599 -57.774499425 0.733480857 0.051303122 0.013003496 0.833008782 0.550722496
1788506804.492257118 -36.287200370 -57.755644847 0.728039214 0.052835103 0.013045759 0.832245604 0.551729566
1788506804.592263937 -36.296036980 -57.725990167 0.727737195 0.051583031 0.013058037 0.831396587 0.553126020
1788506804.692199945 -36.300647499 -57.720877309 0.732328610 0.055126788 0.010834323 0.831258078 0.553040381
1788506804.792135000 -36.325282329 -57.689312631 0.739705080 0.050271100 0.013395341 0.831589915 0.552948093
1788506804.892050028 -36.346233935 -57.659410093 0.745324716 0.051102570 0.011651000 0.832190736 0.552006667
1788506804.991966963 -36.370257032 -57.609602371 0.743759219 0.045306462 0.015025838 0.834773025 0.548521236
1788506805.092032909 -36.382203347 -57.586083881 0.738834949 0.050021696 0.013570617 0.833567924 0.549980168
1788506805.192018986 -36.400406694 -57.560496050 0.746061448 0.045534671 0.016267264 0.834301684 0.549183640
1788506805.292032003 -36.394378904 -57.541286123 0.737595570 0.049400949 0.012077227 0.834532167 0.548607100
1788506805.391977072 -36.412445848 -57.506150253 0.725251179 0.048276089 0.013033011 0.835344903 0.547447215
1788506805.491971016 -36.406964687 -57.498108815 0.718370344 0.052005171 0.011267100 0.835628724 0.546711212
1788506805.591941118 -36.431013637 -57.460361907 0.717121297 0.051277231 0.012438831 0.836034700 0.546133594
1788506805.691925049 -36.436000961 -57.438766427 0.722344473 0.053669668 0.011572896 0.836183537 0.545694721
1788506805.791913986 -36.450974393 -57.399208748 0.730075270 0.051472416 0.013048579 0.836811708 0.544909617
1788506805.891967058 -36.446980167 -57.390532556 0.738935787 0.054361386 0.012621284 0.836726242 0.544770354
